StudentID,Stream,Gender,CGPA,CGPA_Tier,Internships,Projects,AptitudeScore,SoftSkillsRating,Backlogs,PlacementTraining,PlacementStatus
1,CSE,Male,5.0,Low,0,0,37,2.3,3,No,NotPlaced
2,EEE,Male,6.77,Medium,2,2,53,3.3,1,No,NotPlaced
3,CSE,Male,6.83,Medium,0,1,61,2.5,1,Yes,Placed
4,ECE,Male,5.65,Low,0,2,70,2.1,2,Yes,NotPlaced
5,CIVIL,Male,5.0,Low,0,1,40,1.5,2,No,NotPlaced
6,CSE,Female,7.52,Medium,1,2,67,3.4,0,Yes,Placed
7,EEE,Female,6.8,Medium,0,1,56,3.3,3,Yes,NotPlaced
8,ECE,Female,7.42,Medium,1,2,57,3.3,1,Yes,Placed
9,EEE,Male,7.73,Medium,2,2,71,3.9,2,No,Placed
10,ECE,Female,7.13,Medium,1,3,63,2.9,1,No,Placed
11,MECH,Male,6.89,Medium,0,2,55,3.0,1,Yes,Placed
12,CSE,Female,7.54,Medium,2,1,63,3.0,1,No,Placed
13,CSE,Male,7.41,Medium,1,3,71,3.5,0,Yes,Placed
14,ECE,Female,6.99,Medium,2,2,76,3.5,0,No,Placed
15,CIVIL,Female,5.03,Low,0,1,39,1.2,1,Yes,NotPlaced
16,CSE,Female,6.47,Low,0,2,56,3.0,2,Yes,NotPlaced
17,CSE,Female,5.56,Low,1,1,44,2.3,1,No,NotPlaced
18,EEE,Male,9.22,High,2,5,89,3.9,0,Yes,Placed
19,ECE,Male,6.15,Low,0,2,49,2.1,2,Yes,Placed
20,MECH,Female,8.08,High,1,4,67,4.0,0,No,Placed
21,EEE,Male,5.15,Low,0,1,37,2.3,3,No,NotPlaced
22,MECH,Male,6.02,Low,0,1,45,2.7,2,Yes,NotPlaced
23,CIVIL,Male,5.26,Low,0,2,35,2.5,3,Yes,NotPlaced
24,ECE,Male,7.91,Medium,2,2,58,3.5,1,No,Placed
25,CSE,Female,9.68,High,2,3,64,3.9,0,Yes,Placed
26,CSE,Female,5.75,Low,0,2,52,3.2,2,No,NotPlaced
27,CSE,Male,7.85,Medium,1,3,64,3.4,1,No,Placed
28,EEE,Male,7.37,Medium,2,3,56,4.2,1,No,Placed
29,EEE,Male,7.46,Medium,1,2,71,3.0,2,No,Placed
30,EEE,Male,6.05,Low,1,2,60,2.3,2,No,Placed
31,CSE,Male,7.4,Medium,1,2,49,2.1,1,No,Placed
32,CSE,Male,7.24,Medium,1,2,57,2.6,1,No,Placed
33,CIVIL,Male,7.78,Medium,1,2,66,3.2,1,Yes,Placed
34,ECE,Female,7.56,Medium,2,2,65,2.4,1,Yes,Placed
35,CSE,Male,7.66,Medium,2,2,83,2.7,1,Yes,Placed
36,CSE,Male,6.25,Low,2,2,60,3.2,2,Yes,NotPlaced
37,ECE,Female,7.17,Medium,2,2,61,4.2,1,No,NotPlaced
38,EEE,Male,7.91,Medium,2,2,62,3.6,1,No,Placed
39,MECH,Male,6.45,Low,0,0,50,2.8,2,Yes,Placed
40,MECH,Female,6.46,Low,0,2,64,2.6,3,No,Placed
41,EEE,Male,7.64,Medium,1,3,73,2.5,1,Yes,Placed
42,CIVIL,Male,7.56,Medium,1,3,66,3.4,0,No,Placed
43,CIVIL,Female,7.93,Medium,2,3,81,4.1,1,No,Placed
44,CIVIL,Female,6.03,Low,0,0,35,1.5,3,No,NotPlaced
45,MECH,Female,7.95,Medium,2,2,66,4.0,1,Yes,Placed
46,MECH,Male,5.0,Low,0,0,40,1.2,3,No,NotPlaced
47,ECE,Male,6.38,Low,1,2,55,2.6,2,Yes,Placed
48,MECH,Male,5.0,Low,0,0,17,1.3,3,No,NotPlaced
49,MECH,Male,8.72,High,2,3,69,3.7,0,Yes,Placed
50,CSE,Male,6.16,Low,1,0,59,2.5,3,No,NotPlaced
51,ECE,Male,9.45,High,3,5,80,3.8,0,Yes,Placed
52,ECE,Female,7.58,Medium,1,3,61,3.1,0,Yes,Placed
53,CSE,Female,8.35,High,1,3,69,3.1,0,No,Placed
54,ECE,Male,8.23,High,1,2,74,3.5,0,Yes,Placed
55,CSE,Female,8.73,High,2,3,85,4.3,0,Yes,Placed
56,MECH,Female,7.06,Medium,2,2,54,3.7,1,No,NotPlaced
57,MECH,Male,6.67,Medium,0,2,42,2.4,2,Yes,NotPlaced
58,ECE,Male,5.85,Low,0,1,41,2.8,2,Yes,NotPlaced
59,ECE,Female,6.1,Low,0,3,46,1.9,2,Yes,Placed
60,MECH,Male,6.67,Medium,1,2,46,4.0,2,Yes,Placed
